রুণু : 1
তার ভৈরব : 1
আরবে পান : 1
করি রক্ত : 1
স্রোতঃ গৰ্জ্জিলা : 1
পাবনি মানাগ্নি : 1
নিবানু আমি : 1
আহবেবর্ব্বর পাঞ্চালী : 1
সতী পাণ্ডব : 1
কেশপাশ পর্শি : 1
আকর্ষিলি যবে : 1
কুরু কুলে : 1
রাজলক্ষ্মী ত্যজিলা : 1
তখনি ওই : 1
যে শুনিছ : 1
ধ্বনি ও : 1
গুঞ্জরে অলি : 1
চুম্বি ফুলাধরে : 1
গাইছে পিক : 1
কল কুহরণে : 1
তুষিতে প্রত্যূষে : 1
আজি ঋতু : 1
রাজেশ্বরে দেখ : 1
মীলি ভক্ত : 1
জন ভক্তির : 1
নয়নে অধোগামী : 1
দেব গ্রাম : 1
উজ্জ্বল অম্বরে : 1
আসিছেন সবে : 1
হেথা এই : 1
দোলাসনে পূজিতে : 1
রাখালরাজ রাধা : 1
মনোহরে স্বর্গীয় : 1
বাজনা ওই : 1
পিককুল কবে : 1
কবে বা : 1
মধুপ করে : 1
হেন মধু : 1
ধ্বনি কিন্নরের : 1
বীনা তান : 1
অপ্সরার রবে : 1
আনন্দে কুসুম : 1
সাজ ধরেন : 1
ধরণী নন্দন : 1
কানন জাত : 1
পরিমল ভবেবিতরেন : 1
বায়ু ইন্দ্র : 1
পবন আপনি : 1
শচী সহ : 1
শচীপতি স্বর্ণ : 1
মেঘাসনে বাহিরিলা : 1
বিশ্ব দরশনে : 1
আরোহি বিচিত্র : 1
রথ চলে : 1
সঙ্গে চিত্ররথ : 1
নিজদলে বিমণ্ডিত : 1
অস্ত্র আভরণে : 1
রাজাজ্ঞায় আশুগতি : 1
বহিলা বাহনে : 1
হেরি নানা : 1
দেশ সুখে : 1
হেরি বহু : 1
দেশ দুঃখে : 1
ধর্ম্মের উন্নতি : 1
কোন স্থলে : 1
দেব অগ্রগতি : 1
বঙ্গে উতরিল : 1
কহিলা মাহেন্দ্র : 1
সতী শচী : 1
সুলোচনা কোন্‌ : 1
দেশে এবে : 1
গতি কহ : 1
হে প্রাণের : 1
পতি এ : 1
দেশের সহ : 1
কোন্ দেশের : 1
তুলনা উত্তরিলা : 1
বাসব লো : 1
চন্দ্রাননে বঙ্গ : 1
নাম বিখ্যাত : 1
জগতে ভারতের : 1
প্রিয় মেয়ে : 1
মা নাই : 1
তাহার চেয়েনিত্য : 1
অলঙ্কৃত হীরা : 1
মুক্ত মরকতে : 1
সস্নেহে জাহ্নবী : 1
তারে মেখলেন : 1
চারি ধারেবরুণ : 1
ধোয়েন পা : 1
নিত্য রক্ষকের : 1
বেশে হিমাদ্রি : 1
উত্তর দেশে : 1
পরেশনাথ আপনি : 1
শিরে তার : 1
শিরোমণিসেই এই : 1
বঙ্গভূমি শুন : 1
লো ইন্দ্রাণি : 1
দেবাদেশে আশুগতি : 1
চলিলেন মৃদুগতি : 1
উঠিল সহসা : 1
ধ্বনিসভয়ে শচী : 1
আমনি ইন্দ্রেরে : 1
সুধিলা নীচে : 1
কি হতেছে : 1
রণ কহ : 1
সখে বিবরণহেন : 1
দেশে হেন : 1
শব্দ কি : 1
হেতু জন্মিলা : 1
চিত্ররথ হাত : 1
ত্রিদিব ঈশ্বরি : 1
‘বিবাহ করিয়া : 1
এক বালক : 1
যাইছে পত্নী : 1
আসে দেখ : 1
তার পিছে : 1
সুধাংশুর অংশুরূপে : 1
নয়ন কিরণ : 1
নীচদেশে পড়িল : 1
ধিক্ সে : 1
মনেরে কাতর : 1
যে মনঃপরের : 1
সুখেতে সদা : 1
ভবনে মোর : 1
মতে নর : 1
কুলে কলঙ্ক : 1
সে জনপোড়ে : 1
আঁখি যার : 1
যেন বিষ : 1
বরিষণে বিকশে : 1
গায় পিক : 1
গণেবাসন্ত আমোদে : 1
পূরি ভাগ্যের : 1
কাননপরের কি : 1
গুণ দেখে : 1
কেমনে প্রসাদ : 1
তোমার রম : 1
কর বিতরণতুমি : 1
প্রসাদ নমি : 1
যোড় করেমাগি : 1
রাঙা পায়ে : 1
দেবি দ্বেষের : 1
অনলে সে : 1
মহানরক ভবে : 1
সুখী দেখি : 1
পরে দাসের : 1
পরাণ যেন : 1
জ্বলে যদিও : 1
না পাত : 1
ক্ষুদ্র ঘরেরত্ন : 1
সিংহাসন মা : 1
গো কুভাগ্যের : 1
মন্দির বৃন্দ : 1
হেথা কে : 1
নির্ম্মিল কবে : 1
জিজ্ঞাসিব কারে : 1
রবে ভুলে : 1
যদি কল্লোলিনি : 1
লো তারে : 1
এ দেউল : 1
বর্গ গাঁথি : 1
উৎসর্গিল যবেসে : 1
জন ভাবিল : 1
মাতি অহঙ্কারে : 1
থাকিবে এ : 1
কীর্ত্তি তার : 1
চিরদিন ভবে : 1
দীপরূপে আলো : 1
করি বিস্মৃতি : 1
আঁধারে বৃথা : 1
ভাব প্রবাহিণি : 1
চিরস্থায়ী এ : 1
ভবমণ্ডলে গুঁড়া : 1
যায় কালের : 1
ফীড়নেপাথর হুতাশে : 1
ধাতু না : 1
গলে কোথা : 1
সে কোথা : 1
বা নাম : 1
ধন লো : 1
ললনে হায় : 1
গত যথা : 1
বিম্ব তব : 1
চল জলে : 1
হে ভারতি : 1
নন্দন কাননে : 1
যথা ফোটে : 1
পারিজাত যথায় : 1
উৰ্ব্বশী কামের : 1
আকাশে বামা : 1
চির পূর্ণ : 1
শশী নাচে : 1
করতালি দিয়া : 1
বীণার স্বননে : 1
যথা রম্ভা : 1
তিলোত্তমা অলকা : 1
রূপসীমোহে মনঃ : 1
সুমধুর স্বর : 1
বরিষণে মন্দাকিনী : 1
বাহিনীর স্বর্ণ : 1
মিশায়ে সু : 1
কণ্ঠ রব : 1
বীচির বচনে : 1
যথায় শিশিরের : 1
বিন্দু ফুল্ল : 1
ফুল দলেসদা : 1
সদ্যঃ যথা : 1
অলি সতত : 1
গুঞ্জরে বহে : 1
যথা সমীরণ : 1
বহি পরিমলে : 1
বসি যথা : 1
শাখা মুখে : 1
আঁখি দিয়া : 1
বলেভাব পটে : 1
কল্পনা যা : 1
সদা চিত্র : 1
করে ১ : 1
যমুনা পুলিনে : 1
আমি ভ্রমি : 1
একাকিনী হে : 1
নিকুঞ্জবন না : 1
পাইয়া ব্রজেশ্বরে : 1
আইনু হেথা : 1
সত্বরে হে : 1
সখে দেখাও : 1
মোরে ব্রজের : 1
সুধার হেতু : 1
বাঁধিয়ে আশার : 1
সেতু কুমুদীর : 1
মনঃ যতা : 1
উঠে গো : 1
গগনে হেরিতে : 1
মুরলীধর রূপে : 1
যিনি শশধর : 1
আসিয়াছি আমি : 1
সদনে তুমি : 1
হে অম্বর : 1
কুঞ্জবর তব : 1
চাঁদ নন্দের : 1
নন্দন ২ : 1
বাসি শ্যামধনে : 1
সুভাজন হে : 1
কুঞ্জকুল রাজন : 1
বাসিতেন তিনি : 1
তোমার কুসুমালয়ে : 1
যবে গো : 1
অতিথি হয়ে : 1
বাজায়ে বাঁশরী : 1
ব্রজ মোহিত : 1
মোহন তুমি : 1
জান কোন : 1
ধনী শুনি : 1
ধ্বনি অমনি : 1
আসি সেবিত : 1
চরণ যথা : 1
শুনি জলদ : 1
নিনাদ ধায় : 1
রড়ে প্রমদা : 1
শিখিনী ৩ : 1
জ্বলে রে : 1
